preferences,seed,learn_rate,model_type,train_pairs,dev_pairs,test_pairs,epoch_num,loss_train,loss_dev,loss_test,rho_train,rho_p_train,pcc_train,pcc_p_train,tau_train,tau_p_train,rho_train_global,pcc_train_global,tau_train_global,rho_dev,rho_p_dev,pcc_dev,pcc_p_dev,tau_dev,tau_p_dev,rho_dev_global,pcc_dev_global,tau_dev_global,rho_test,rho_p_test,pcc_test,pcc_p_test,tau_test,tau_p_test,rho_test_global,pcc_test_global,tau_test_global
majority,1,0.001,linear,627,150,186,8,0.547866318,0.625984943,0.671566943,0.555753964,0.039478964,0.588835039,0.021017894,0.464428854,0.038108532,0.600844579,0.599661313,0.46661394,0.368879357,0.185214935,0.422040358,0.079722324,0.292629982,0.189482038,0.393278668,0.39365557,0.297054647,0.231144583,0.254355678,0.269082927,0.24800129,0.193237475,0.261734669,0.244116292,0.235180371,0.192081078
majority,1,0.001,linear,627,150,186,18,0.512061219,0.626431048,0.690752467,0.609849155,0.022039004,0.639201556,0.007620839,0.516669425,0.020133333,0.62825627,0.631550012,0.489478167,0.386405391,0.174109353,0.423776363,0.084589381,0.313523346,0.175266026,0.399844078,0.401776932,0.304009977,0.220980185,0.250184401,0.239628155,0.242494992,0.187076926,0.241553326,0.224371722,0.206957053,0.172733936
majority,1,0.001,linear,627,150,186,10,0.53775008,0.626636493,0.673316012,0.559789557,0.035126789,0.603099463,0.016273827,0.468828026,0.032501793,0.608244165,0.609380276,0.472747721,0.405575209,0.151627694,0.423442943,0.081385416,0.328757014,0.148223156,0.396961363,0.398434624,0.301146484,0.236396077,0.280813353,0.264047362,0.270050023,0.200634032,0.285905195,0.245340371,0.231108688,0.193478839
majority,1,0.001,linear,627,150,186,4,0.583387715,0.62705164,0.668744773,0.512697872,0.068753664,0.536847634,0.045725202,0.426920208,0.069631978,0.561726652,0.558124574,0.434977142,0.378403248,0.123322051,0.41386355,0.082743553,0.303910427,0.123509944,0.386960055,0.383667713,0.292120332,0.183677682,0.219188202,0.247606709,0.197812433,0.160215464,0.217617779,0.226722567,0.217929422,0.175046705
majority,1,0.001,linear,627,150,186,3,0.596495488,0.62749455,0.674532036,0.475104614,0.117897497,0.511244721,0.067591878,0.394513835,0.117349012,0.539210213,0.53643711,0.41643456,0.397299474,0.096576873,0.415345743,0.060352226,0.320194405,0.096885823,0.400694809,0.391169361,0.304087264,0.194686172,0.188292813,0.231042612,0.146912308,0.153787389,0.191093085,0.205924536,0.183058484,0.155822426
majority,1,0.001,linear,627,150,186,15,0.520934616,0.627919948,0.6852899,0.590028706,0.028982556,0.627619511,0.009878224,0.49655082,0.027331091,0.621859394,0.624584287,0.48395117,0.397057492,0.168660243,0.425093786,0.079457677,0.324843049,0.167131574,0.405290609,0.404453098,0.30799513,0.229572724,0.25263881,0.244890983,0.258224525,0.195630113,0.250279698,0.231859857,0.211430953,0.1814813
majority,1,0.001,linear,627,150,186,20,0.508582813,0.628664041,0.692854116,0.608009627,0.02268303,0.643458253,0.006840221,0.513758279,0.021052107,0.628775524,0.633717208,0.489615673,0.38824724,0.171279146,0.425627518,0.08030818,0.315615655,0.170821735,0.404753097,0.406320413,0.308118513,0.229088011,0.270643386,0.230995917,0.219826639,0.195778637,0.275237712,0.215664531,0.197167272,0.164424078
majority,1,0.001,linear,627,150,186,16,0.517936575,0.628856778,0.684856931,0.597271998,0.028544928,0.634066115,0.008697244,0.505027707,0.025787058,0.624979406,0.628322048,0.48692475,0.391270124,0.162580933,0.423840489,0.085964202,0.318671343,0.162772879,0.39762004,0.399693522,0.303154639,0.210138723,0.278948916,0.246725098,0.259641872,0.180396846,0.29023247,0.233756345,0.215063407,0.183020313
majority,1,0.001,linear,627,150,186,14,0.522748744,0.630780292,0.681930552,0.590815342,0.028298833,0.626187432,0.010296828,0.497915372,0.026314975,0.620285497,0.623297956,0.482540644,0.431062743,0.151502751,0.425504086,0.084694995,0.354213166,0.147114088,0.405275385,0.398514212,0.309066827,0.229627592,0.308969061,0.252888571,0.28179181,0.198042024,0.326074906,0.235489172,0.22138779,0.18636616
majority,1,0.001,linear,627,150,186,23,0.504890382,0.631106377,0.703305175,0.61230146,0.019154828,0.651062518,0.005587071,0.516076616,0.019238007,0.634665954,0.638412722,0.49485072,0.389802606,0.172038173,0.422418993,0.08313227,0.31538708,0.172760848,0.404188094,0.40406307,0.307382506,0.2082103,0.24439753,0.224181519,0.208009609,0.178171075,0.233344483,0.211446201,0.191125534,0.160226399
